timestamp,abertura,alta,baixa,fechamento,volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Superior,BB_Medio,BB_Inferior
2025-03-26 07:29:00,0.895935,0.896055,0.895675,0.895865,0,0.8959550000000001,0.8957744,0.8958818024853574,0.8959480572452833,39.0977443608995,1.9130988162641138e-05,3.3334847654198985e-05,-1.4203859491557847e-05,0.8962762475681387,0.8959550000000001,0.8956337524318614
2025-03-26 07:30:00,0.895835,0.895865,0.895715,0.895835,0,0.8959665000000001,0.8957722,0.8958773451057995,0.8959436236278212,40.94488188976323,1.3040746727366326e-05,2.9276027468832455e-05,-1.623528074146613e-05,0.8962491398117621,0.8959665000000001,0.8956838601882381
2025-03-26 07:31:00,0.895825,0.895875,0.895745,0.895775,0,0.8959579999999999,0.8957738000000001,0.8958675979528662,0.8959370109365342,35.1999999999978,3.334252762665635e-06,2.408767252759909e-05,-2.0753419764933454e-05,0.8962533035904985,0.8959579999999999,0.8956626964095014
2025-03-26 07:32:00,0.895775,0.895845,0.895705,0.895835,0,0.895952,0.8957763999999999,0.8958644933859266,0.8959330105076506,39.37007874015679,4.77777402752011e-07,1.9365693502629677e-05,-1.8887916099877666e-05,0.8962523927254591,0.895952,0.8956516072745409
2025-03-26 07:33:00,0.895835,0.895835,0.895595,0.895735,0,0.8959294999999999,0.8957736,0.895852160682505,0.8959252453897035,42.37288135592901,-9.742854601868522e-06,1.3543983881730039e-05,-2.328683848359856e-05,0.8962237591053608,0.8959294999999999,0.8956352408946391
2025-03-26 07:34:00,0.895735,0.895795,0.895405,0.895475,0,0.89589,0.8957678000000001,0.8958162406175045,0.8959075887077544,33.80281690140636,-3.8380183328023953e-05,3.1591504397792403e-06,-4.1539333767803194e-05,0.8962059280398303,0.89589,0.8955740719601696
2025-03-26 07:35:00,0.895525,0.895545,0.895435,0.895495,0,0.895857,0.8957573999999999,0.8957856462729803,0.8958914087584308,37.31343283581966,-5.87840142863838e-05,-9.22948250545337e-06,-4.955453178093043e-05,0.8961935834533782,0.895857,0.8955204165466218
2025-03-26 07:36:00,0.895495,0.895665,0.895425,0.895665,0,0.895837,0.8957538,0.895774156151744,0.8958825299835903,42.06896551724275,-6.053876487432941e-05,-1.9491338979228578e-05,-4.104742589510083e-05,0.8961690494573714,0.895837,0.8955049505426286
2025-03-26 07:37:00,0.895665,0.895695,0.895565,0.895615,0,0.8958105,0.8957497999999999,0.8957589984230065,0.8958720386116849,45.185185185186405,-6.521227300027022e-05,-2.8635525783436906e-05,-3.657674721683331e-05,0.8961230767274795,0.8958105,0.8954979232725204
2025-03-26 07:38:00,0.895605,0.895615,0.895445,0.895465,0,0.8957784999999999,0.8957438000000001,0.8957309985731964,0.8958560763131874,30.468749999998707,-8.009650560036885e-05,-3.89277217468233e-05,-4.116878385354555e-05,0.8960951452440222,0.8957784999999999,0.8954618547559776
